NAME,DESCRIPTION
Kg,Kilo Gram
Mm,Milli Meter
Cm,Centi Meter
M,Meter
L,Litre
Ml,Milli Litre
Wh,Watt Hour
KWh,Kilo Watt Hour
Ah,Ampere Hour
mAh,Milli Ampere Hour
